material_ID,formula_pretty,over_0.5A,over_1.0A,over_1.5A,over_2.0A,over_2.5A,over_3.0A,over_3.5A,over_4.0A,over_4.5A,over_5.0A,over_5.5A,over_6.0A,over_6.5A,M_O_dist,M_O_dist_std,M_O_ang,M_O_ang_std,n_M_O_bond,n_M_O_ang,n_atoms,M2O_ratio,cell_volume,n_density,density
25275,MnO2,0.8631697742355272,0.6159520068253119,0.3874714487048646,0.2207156857980593,0.0951493846959658,0.02545992559114,0.0052755773706349,0.0005345774408319,5.3997721296161305e-06,0.0,0.0,0.0,0.0,1.9037730208199424,0.0002045685888474105,107.99993038993007,36.53914271818816,24,60,12,0.5,129.92888565750238,0.09235821533659935,4.445876970377964
25279,V2O5,0.8819430641136068,0.6748934384593299,0.4672088606197133,0.2865787671989222,0.1540338788400803,0.0796174827182579,0.0420669626095982,0.022030080169615,0.0105015570131849,0.0040084807526668,0.0009938382031405,7.17772035601493e-05,0.0,1.8308698918516473,0.14266480098140988,105.69803718695744,23.406109773093856,20,40,14,0.4,175.71849611799263,0.07967288765434907,3.4387340136889795
25280,V2O5,0.8980217330732795,0.7172250458777298,0.5330944168484162,0.3720996147231483,0.2288554106897512,0.1233222201938874,0.0571526023001316,0.0236258298824953,0.0089593681843948,0.0024211911876327,0.0002786291446085,0.0,0.0,1.8554169764779231,0.14494984304867012,105.54490771288515,22.530912302929682,40,80,28,0.4,405.7110038478973,0.0690146427738926,2.9787171839280537
25283,VO2,0.8781873822975518,0.6555131826741997,0.4337758945386064,0.2702259887005649,0.1475564971751412,0.05674670433145,0.015367231638418,0.0030508474576271,0.0002683615819209,0.0,0.0,0.0,0.0,1.9684965174188973,0.018787578597464435,107.995938052731,36.728538675233345,24,60,12,0.5,147.09659814323996,0.08157904500493357,3.7464927977348794
25288,V2O5,0.8834444444444445,0.6783555555555556,0.4733,0.2941111111111111,0.1494222222222222,0.0566444444444444,0.0117777777777777,0.0014888888888888,2.2222222222222223e-05,0.0,0.0,0.0,0.0,1.8305535849962449,0.13817000682969968,105.62987047120336,22.812974284201832,40,80,28,0.4,355.6671851974434,0.07872528353847491,3.3978347994053832
25302,CrO2,0.8795636670662114,0.6596482499189603,0.4453113809922277,0.2876947780265508,0.1658110379868979,0.0722421994557146,0.0197586147107824,0.0049980776624375,0.0006407791874919,7.538578676376356e-06,0.0,0.0,0.0,1.9525514633901757,2.708504413785923e-08,108.0,36.983919506785085,6,15,3,0.5,36.8362852722134,0.08144143682867448,3.7877032364272893
25332,FeO2,0.8715071381395113,0.6364565869024031,0.4071470304323528,0.2401501295534217,0.1193098104963674,0.0435591627292587,0.0052519941065894,0.0,0.0,0.0,0.0,0.0,0.0,1.9543498574070701,0.02182902061501051,105.54550905828523,31.136087463577205,12,30,6,0.5,69.0229560774755,0.0869276012065499,4.228118091244165
25378,CuO2,0.8704366377954764,0.633443548181455,0.4082822633426548,0.2428409931236134,0.1152920976803882,0.0327074603269046,0.0078368706916335,0.0015469744749211,5.099915851388452e-05,0.0,0.0,0.0,0.0,1.9394524804907511,5.9123081430007494e-08,107.99999988616352,36.84630162581562,6,15,3,0.5,34.255318648451755,0.08757764103109844,4.633177261724955
25424,MnO2,0.8625317682258242,0.6143613630375099,0.3863016260231706,0.2199593706703839,0.0949179338540914,0.0240206036600396,0.0052359136074254,0.000730987938699,0.0,0.0,0.0,0.0,0.0,1.9026615327772658,2.5050866033199605e-06,107.99996105254853,36.58913430405659,6,15,3,0.5,32.400341322842216,0.09259161717179203,4.4571123092175595
25428,NiO2,0.8580939884336881,0.6034839329780284,0.373540036610455,0.2072270550182782,0.0837288666418277,0.0214046967217983,0.0042442208938782,0.0003023872392585,0.0,0.0,0.0,0.0,0.0,1.8793801102824386,1.985471522362132e-06,107.99999997154087,36.55314139942075,24,60,12,0.5,125.23074235578832,0.09582311638708692,4.811901577110356
25433,TiO2,0.8827591602184798,0.6685039258079198,0.4530965521165225,0.2914912380518889,0.1671739872553482,0.0730897246244879,0.0201482134729176,0.0049712676376877,0.0007325329995448,7.111970869367319e-06,0.0,0.0,0.0,1.9822711299284415,6.954056471398611e-08,108.00000000000001,36.74336058351846,6,15,3,0.5,37.88682921049331,0.07918319010895497,3.5016420144250766
